date5,m_consumerd
2019-01-02,175.01986967842535
2019-01-03,172.0142068503038
2019-01-04,175.86305243114256
2019-01-07,178.5946081179493
2019-01-08,179.30977435381908
2019-01-09,180.37737210291738
2019-01-10,181.6684624024157
2019-01-11,181.87593913528156
2019-01-14,181.00603396937532
2019-01-15,182.16614628737827
2019-01-16,181.2535755499354
2019-01-17,183.13247851605686
2019-01-18,184.2991824959809
2019-01-22,181.75268304572916
2019-01-23,183.2916548477029
2019-01-24,184.62032546637192
2019-01-25,185.50620222991367
2019-01-28,186.30349755737018
2019-01-29,187.66708422606845
2019-01-30,189.58475757994742
2019-01-31,190.48290194205518
2019-02-01,190.06060189121175
2019-02-04,191.35794286907844
2019-02-05,192.62709728276954
2019-02-06,191.0345219936011
2019-02-07,193.0925781861791
2019-02-08,192.18778185574513
2019-02-11,193.5689950709073
2019-02-12,196.74523086367913
2019-02-13,195.9317560825708
2019-02-14,196.76583829915748
2019-02-15,198.41802073424716
2019-02-19,197.6502836875196
2019-02-20,197.2627923353663
2019-02-21,197.1420059653948
2019-02-22,198.76024391066352
2019-02-25,196.74270885395555
2019-02-26,198.10883186448297
2019-02-27,197.3763461023007
2019-02-28,193.61758461538352
2019-03-01,193.69145128861913
2019-03-04,194.33023112674928
2019-03-05,194.77880651545973
2019-03-06,195.3704665202015
2019-03-07,195.0594216922544
2019-03-08,193.74068555292092
2019-03-11,194.97497246400366
2019-03-12,196.1875603603867
2019-03-13,196.55728263675041
2019-03-14,195.9809655333465
2019-03-15,196.8501676973307
2019-03-18,198.82693243026733
2019-03-19,198.68021450402603
2019-03-20,198.7061568746027
2019-03-21,200.93113864142938
2019-03-22,198.37619124718432
2019-03-25,201.00902150711923
2019-03-26,201.73633622223477
2019-03-27,202.46996676247076
2019-03-28,201.80488330013347
2019-03-29,202.46115006140943
2019-04-01,203.63109297122597
2019-04-02,203.90917041166773
2019-04-03,205.40965559797468
2019-04-04,207.3470449537601
2019-04-05,208.06864930998603
2019-04-08,208.99840626626644
2019-04-09,207.6723690662744
2019-04-10,209.61785842787543
2019-04-11,210.87534847799338
2019-04-12,212.03939912903985
2019-04-15,213.11202021364895
2019-04-16,213.63290230733043
2019-04-17,213.45995074398112
2019-04-18,214.27862161060548
2019-04-22,216.91956835872722
2019-04-23,217.96291482673502
2019-04-24,218.15731295099798
2019-04-25,215.22807668290048
2019-04-26,214.90724322480975
2019-04-29,214.8827628909417
2019-04-30,215.14844070290619
2019-05-01,214.3569930094593
2019-05-02,216.33631098045493
2019-05-03,217.56402271198777
2019-05-06,217.12020893816677
2019-05-07,214.13082272151732
2019-05-08,213.07934663880548
2019-05-09,213.95443678801914
2019-05-10,215.0859549360455
2019-05-13,210.0413249393679
2019-05-14,212.15657230593123
2019-05-15,213.08421037781915
2019-05-16,214.54004892313256
2019-05-17,213.5760535654032
2019-05-20,211.53200010983448
2019-05-21,214.77270065163665
2019-05-22,212.4950763774368
2019-05-23,209.32791927625547
2019-05-24,210.46490190613946
2019-05-28,208.58147216293048
2019-05-29,207.22295448015322
2019-05-30,208.28569741518993
2019-05-31,206.1110908220399
2019-06-03,207.07327637582455
2019-06-04,212.44350753640228
2019-06-05,214.67619685406956
2019-06-06,215.6886332889773
2019-06-07,217.9867465181171
2019-06-10,218.98413071542416
2019-06-11,218.7617771220657
2019-06-12,219.5696117653037
2019-06-13,220.64036855157815
2019-06-14,221.71031374301552
2019-06-17,220.8854980828627
2019-06-18,222.45119371954002
2019-06-19,221.80257399577016
2019-06-20,223.28117298630048
2019-06-21,220.90876107845665
2019-06-24,220.18574878404726
2019-06-25,217.77092822092885
2019-06-26,216.40402682322377
2019-06-27,219.23005026691365
2019-06-28,221.49787337824984
2019-07-01,222.190339952145
2019-07-02,223.4904801170781
2019-07-03,224.9361373433527
2019-07-05,224.0987350355904
2019-07-08,223.46648119080743
2019-07-09,223.55317702383365
2019-07-10,225.12775257398496
2019-07-11,225.52960228470135
2019-07-12,227.87409168819212
2019-07-15,227.5435290426578
2019-07-16,228.55955633127465
2019-07-17,226.9463897741066
2019-07-18,227.90485518833376
2019-07-19,227.28323115942612
2019-07-22,226.83885387204728
2019-07-23,225.2122113749666
2019-07-24,226.99619388580322
2019-07-25,226.69005437167186
2019-07-26,225.630202293396
2019-07-29,224.92252592770558
2019-07-30,223.80201920923196
2019-07-31,222.89825412462343
2019-08-01,221.69916644186344
2019-08-02,220.1979609075582
2019-08-05,214.83865642547607
2019-08-06,217.66493557983975
2019-08-07,220.35589928896923
2019-08-08,225.82311617653326
2019-08-09,224.39499907223683
2019-08-12,221.57882396230158
2019-08-13,224.89090930290942
2019-08-14,219.2412930164697
2019-08-15,219.6573854842276
2019-08-16,221.5049335281804
2019-08-19,224.03063857780313
2019-08-20,224.17006826400757
2019-08-21,226.1183223364488
2019-08-22,226.9608397573795
2019-08-23,220.7314390056538
2019-08-26,223.28299880477618
2019-08-27,222.96213939054957
2019-08-28,225.37076907787682
2019-08-29,227.39383628233423
2019-08-30,224.72398507819986
2019-09-03,223.28354661869554
2019-09-04,226.5497304268603
2019-09-05,227.70306151767946
2019-09-06,228.66331105862022
2019-09-09,231.55497430405526
2019-09-10,230.44090699249844
2019-09-11,231.5817642211914
2019-09-12,231.02390532223683
2019-09-13,230.40575022067665
2019-09-16,228.57520242007274
2019-09-17,231.38910473517652
2019-09-18,232.30023432677646
2019-09-19,231.32429208395615
2019-09-20,229.88923330127068
2019-09-23,227.29723729727402
2019-09-24,225.38324939979697
2019-09-25,226.683671573423
2019-09-26,226.59075212478638
