date3,m_infotech
2019-01-02,82.03783681499424
2019-01-03,78.58129784598279
2019-01-04,81.79167364604437
2019-01-07,83.14996050364935
2019-01-08,84.04396854941524
2019-01-09,85.22354471861426
2019-01-10,85.98203133825047
2019-01-11,86.14297878920142
2019-01-14,85.19486423748643
2019-01-15,86.28379174844542
2019-01-16,86.39603615518826
2019-01-17,86.98813413506123
2019-01-18,88.60845458329614
2019-01-22,86.87937403436916
2019-01-23,87.00533498223149
2019-01-24,88.52241173075207
2019-01-25,90.06493052439903
2019-01-28,89.38769334109861
2019-01-29,88.7398926820328
2019-01-30,90.57762387973159
2019-01-31,91.39900350570679
2019-02-01,92.39678556527664
2019-02-04,93.5933260277136
2019-02-05,94.23072323870304
2019-02-06,95.22305863650877
2019-02-07,94.03380307866566
2019-02-08,95.04872105014859
2019-02-11,95.29271579144606
2019-02-12,96.83019217448448
2019-02-13,97.02958779548531
2019-02-14,97.54365138153531
2019-02-15,98.27915371709796
2019-02-19,98.30608556519694
2019-02-20,98.40480311237164
2019-02-21,98.20812332096385
2019-02-22,99.51620149612427
2019-02-25,99.75783424946799
2019-02-26,99.65456591079484
2019-02-27,99.79147011486452
2019-02-28,99.45735222546023
2019-03-01,100.23664520035929
2019-03-04,99.31877956105701
2019-03-05,98.83489405219234
2019-03-06,98.07176336601599
2019-03-07,97.55820533410827
2019-03-08,97.47883547597857
2019-03-11,99.35931365169697
2019-03-12,99.49035682962902
2019-03-13,99.92433536586476
2019-03-14,100.14302418836907
2019-03-15,100.9760274602406
2019-03-18,101.24142487369366
2019-03-19,101.64256285197699
2019-03-20,101.17419124717144
2019-03-21,103.53945080202017
2019-03-22,100.54272184798967
2019-03-25,100.350328331563
2019-03-26,101.28660298817194
2019-03-27,100.22610708492905
2019-03-28,100.9819949278191
2019-03-29,102.22919919597568
2019-04-01,104.14258736283031
2019-04-02,104.29091820788028
2019-04-03,105.37089258165501
2019-04-04,104.3462314321034
2019-04-05,104.94829083912408
2019-04-08,105.3305452261398
2019-04-09,104.844433229361
2019-04-10,105.91823841208843
2019-04-11,106.37479960028804
2019-04-12,107.23376242794208
2019-04-15,107.1098421296077
2019-04-16,107.6339668444733
2019-04-17,106.88344435905343
2019-04-18,106.99491742831557
2019-04-22,107.29702763059247
2019-04-23,108.53615910259646
2019-04-24,108.69902891187526
2019-04-25,108.41082890353985
2019-04-26,108.73966913080928
2019-04-29,108.68865575363387
2019-04-30,109.15975992003483
2019-05-01,107.8724582444376
2019-05-02,107.6115800088911
2019-05-03,108.28988533589377
2019-05-06,107.6720752289046
2019-05-07,105.58079619905841
2019-05-08,105.41939409455257
2019-05-09,105.05144623144349
2019-05-10,105.60647249933498
2019-05-13,101.19885754941114
2019-05-14,103.02553124214286
2019-05-15,103.95690461059115
2019-05-16,104.98488120178678
2019-05-17,103.44075595798778
2019-05-20,101.4000468325259
2019-05-21,103.01671305699135
2019-05-22,102.82649881448319
2019-05-23,100.65855370706586
2019-05-24,100.96861645712781
2019-05-28,100.55713079936469
2019-05-29,99.83398840320645
2019-05-30,100.49858904596584
2019-05-31,99.19310996781535
2019-06-03,97.58258949108978
2019-06-04,101.01068337283917
2019-06-05,102.38643607808582
2019-06-06,103.33819054845554
2019-06-07,104.67589789717945
2019-06-10,105.84231304054829
2019-06-11,105.22746348025194
2019-06-12,104.79276047891645
2019-06-13,105.26324398837872
2019-06-14,103.78067671363033
2019-06-17,103.82137875058758
2019-06-18,105.94455600852397
2019-06-19,106.82514135161442
2019-06-20,108.09589353248255
2019-06-21,107.49796420424732
2019-06-24,107.17354213657664
2019-06-25,105.37709500896396
2019-06-26,106.26388831636798
2019-06-27,107.4848352403783
2019-06-28,108.47030269565867
2019-07-01,110.42740796217278
2019-07-02,110.55238323781028
2019-07-03,111.34810876134617
2019-07-05,111.39774463425822
2019-07-08,110.47148036956787
2019-07-09,111.11229519345868
2019-07-10,111.67619655381388
2019-07-11,111.93296251724016
2019-07-12,113.19396080187897
2019-07-15,113.33795770958288
2019-07-16,112.33505522315181
2019-07-17,112.25667492311392
2019-07-18,112.61911814960081
2019-07-19,111.89093342112072
2019-07-22,112.83946797385144
2019-07-23,113.33704655206026
2019-07-24,115.1704057294931
2019-07-25,113.97242788058608
2019-07-26,114.66676033076955
2019-07-29,114.00815610743281
2019-07-30,113.59988865923526
2019-07-31,112.23414048152183
2019-08-01,111.80612211085078
2019-08-02,109.77664698415728
2019-08-05,105.56046732148128
2019-08-06,107.37349416248834
2019-08-07,108.15059468283582
2019-08-08,111.29773510036183
2019-08-09,109.84112658429501
2019-08-12,108.4517672097505
2019-08-13,110.34572806287167
2019-08-14,106.64570496687249
2019-08-15,106.82566325344257
2019-08-16,108.96545299131479
2019-08-19,110.15197097721385
2019-08-20,109.8371509011112
2019-08-21,111.41754413718608
2019-08-22,111.4361776522736
2019-08-23,108.59981996621659
2019-08-26,109.7631639936077
2019-08-27,109.69186103877736
2019-08-28,109.4282164929518
2019-08-29,111.39214724925027
2019-08-30,111.30051830633363
2019-09-03,109.93303523846527
2019-09-04,111.83278307274206
2019-09-05,113.97549422819223
2019-09-06,113.79164085103504
2019-09-09,111.9584300482451
2019-09-10,110.27140551894459
2019-09-11,111.22800280442878
2019-09-12,111.65749574063429
2019-09-13,111.250945233587
2019-09-16,111.42011323615687
2019-09-17,112.39246428190772
2019-09-18,112.34383242877561
2019-09-19,112.5192706691685
