Date,AAPL,AMZN,GOOG,META,MSFT,NFLX
2019-01-02,37.9944953918457,76.95649719238281,52.29249954223633,135.67999267578125,96.42186737060547,267.6600036621094
2019-01-03,34.2099609375,75.01399993896484,50.803001403808594,131.74000549316406,92.87470245361328,271.20001220703125
2019-01-04,35.67035675048828,78.76950073242188,53.535499572753906,137.9499969482422,97.1942367553711,297.57000732421875
2019-01-07,35.590965270996094,81.47550201416016,53.419498443603516,138.0500030517578,97.31819915771484,315.3399963378906
2019-01-08,36.269432067871094,82.8290023803711,53.81399917602539,142.52999877929688,98.02381896972656,320.2699890136719
2019-01-09,36.88536071777344,82.97100067138672,53.733001708984375,144.22999572753906,99.4255142211914,319.9599914550781
2019-01-10,37.00325393676758,82.81099700927734,53.51649856567383,144.1999969482422,98.78665161132812,324.6600036621094
2019-01-11,36.639949798583984,82.02799987792969,52.859500885009766,143.8000030517578,98.02381896972656,337.5899963378906
2019-01-14,36.08899688720703,80.8604965209961,52.234500885009766,145.38999938964844,97.30867004394531,332.94000244140625
2019-01-15,36.82762145996094,83.72799682617188,53.85749816894531,148.9499969482422,100.13116455078125,354.6400146484375
2019-01-16,37.27752685546875,84.18900299072266,54.048500061035156,147.5399932861328,100.48394012451172,351.3900146484375
2019-01-17,37.498863220214844,84.66100311279297,54.494998931884766,148.3000030517578,101.1895751953125,353.19000244140625
2019-01-18,37.729835510253906,84.80999755859375,54.91299819946289,150.0399932861328,102.7056884765625,339.1000061035156
2019-01-22,36.88295364379883,81.6084976196289,53.5260009765625,147.57000732421875,100.77002716064453,325.1600036621094
2019-01-23,37.03211975097656,82.0009994506836,53.778499603271484,144.3000030517578,101.7521743774414,321.989990234375
2019-01-24,36.73860168457031,82.74649810791016,53.69499969482422,145.8300018310547,101.2658462524414,326.6700134277344
2019-01-25,37.955997467041016,83.52850341796875,54.54949951171875,149.00999450683594,102.19078826904297,338.04998779296875
2019-01-28,37.604732513427734,81.89450073242188,53.50400161743164,147.47000122070312,100.19789123535156,335.6600036621094
2019-01-29,37.214969635009766,79.69400024414062,53.03099822998047,144.19000244140625,98.1573257446289,328.8999938964844
2019-01-30,39.75803756713867,83.52149963378906,54.452999114990234,150.4199981689453,101.43749237060547,340.6600036621094
2019-01-31,40.04434585571289,85.9365005493164,55.81850051879883,166.69000244140625,99.5781021118164,339.5
2019-02-01,40.06359100341797,81.3115005493164,55.537498474121094,165.7100067138672,98.0047378540039,339.8500061035156
2019-02-04,41.20159912109375,81.66549682617188,56.63999938964844,169.25,100.82722473144531,351.3399963378906
2019-02-05,41.90652847290039,82.94049835205078,57.29949951171875,171.16000366210938,102.23846435546875,355.80999755859375
2019-02-06,41.92097473144531,82.01300048828125,55.76150131225586,170.49000549316406,101.10375213623047,352.19000244140625
2019-02-07,41.12702178955078,80.71849822998047,54.93550109863281,166.3800048828125,100.37905883789062,344.7099914550781
2019-02-08,41.17534255981445,79.41100311279297,54.75299835205078,167.3300018310547,100.76048278808594,347.57000732421875
2019-02-11,40.93854522705078,79.55000305175781,54.7504997253418,165.7899932861328,100.3599853515625,345.7300109863281
2019-02-12,41.291324615478516,81.90049743652344,56.06850051879883,165.0399932861328,101.92379760742188,359.9700012207031
2019-02-13,41.11977005004883,82.0,56.007999420166016,164.07000732421875,101.84750366210938,351.7699890136719
2019-02-14,41.26957702636719,81.13249969482422,56.083499908447266,163.9499969482422,101.9333267211914,359.07000732421875
2019-02-15,41.17776107788086,80.39749908447266,55.682498931884766,162.5,103.19200134277344,356.8699951171875
2019-02-19,41.300994873046875,81.37899780273438,55.928001403808594,162.2899932861328,103.14432525634766,361.9200134277344
2019-02-20,41.566776275634766,81.1050033569336,55.689998626708984,162.55999755859375,102.6080551147461,359.9100036621094
2019-02-21,41.332393646240234,80.97200012207031,54.8484992980957,160.0399932861328,104.77227020263672,356.9700012207031
2019-02-22,41.79389953613281,81.5780029296875,55.51850128173828,161.88999938964844,106.2661361694336,363.0199890136719
2019-02-25,42.09834671020508,81.6500015258789,55.470001220703125,164.6199951171875,106.8598403930664,363.9100036621094
2019-02-26,42.12251663208008,81.81999969482422,55.756500244140625,164.1300048828125,107.59720611572266,364.9700012207031
2019-02-27,42.25298309326172,82.05449676513672,55.8025016784668,162.80999755859375,107.41526794433594,362.8699951171875
2019-02-28,41.837398529052734,81.99150085449219,55.99599838256836,161.4499969482422,107.28119659423828,358.1000061035156
2019-03-01,42.27714920043945,83.58650207519531,57.04949951171875,162.27999877929688,107.76001739501953,357.32000732421875
2019-03-04,42.489784240722656,84.80850219726562,57.38999938964844,167.3699951171875,107.50144958496094,351.0400085449219
2019-03-05,42.41245651245117,84.62149810791016,58.10150146484375,171.25999450683594,106.96519470214844,354.29998779296875
2019-03-06,42.168418884277344,83.44750213623047,57.893001556396484,172.50999450683594,107.01307678222656,359.6099853515625
2019-03-07,41.68034744262695,81.29750061035156,57.165000915527344,169.1300048828125,105.71072387695312,352.6000061035156
2019-03-08,41.7794075012207,81.04000091552734,57.11600112915039,169.60000610351562,105.82564544677734,349.6000061035156
2019-03-11,43.22673416137695,83.53099822998047,58.78799819946289,172.07000732421875,108.04729461669922,358.8599853515625
2019-03-12,43.712406158447266,83.65499877929688,59.65999984741211,171.9199981689453,108.80379486083984,356.2699890136719
2019-03-13,43.905704498291016,84.54049682617188,59.66600036621094,173.3699951171875,109.64649200439453,361.2099914550781
2019-03-14,44.3937873840332,84.31099700927734,59.27750015258789,170.1699981689453,109.7326889038086,358.82000732421875
