date1,m_industrial
2019-01-02,91.18161969714694
2019-01-03,88.51012388865153
2019-01-04,92.01396592458089
2019-01-07,92.52444529533386
2019-01-08,93.72788707415263
2019-01-09,94.43985766834683
2019-01-10,95.48917343881395
2019-01-11,95.47445861498515
2019-01-14,95.32073770629034
2019-01-15,95.34765985276964
2019-01-16,95.4146450360616
2019-01-17,96.99545052316454
2019-01-18,98.9951491885715
2019-01-22,96.84063471688165
2019-01-23,96.75716169675191
2019-01-24,97.24928320778741
2019-01-25,98.4197457631429
2019-01-28,97.71404804123773
2019-01-29,99.31247335010104
2019-01-30,100.63926821284824
2019-01-31,100.77734020021227
2019-02-01,101.00683379173279
2019-02-04,102.36638718181186
2019-02-05,103.14454335636563
2019-02-06,103.15416889720493
2019-02-07,102.4673866695828
2019-02-08,102.67027484046088
2019-02-11,103.2972948551178
2019-02-12,104.8473818037245
2019-02-13,105.39420292112563
2019-02-14,104.9392642709944
2019-02-15,106.40030349625482
2019-02-19,106.19047866927252
2019-02-20,106.61395772298177
2019-02-21,106.26825020048354
2019-02-22,106.98590302467346
2019-02-25,107.0820570256975
2019-02-26,106.58788922097948
2019-02-27,106.91453870137532
2019-02-28,106.67630966504414
2019-03-01,106.87365860409207
2019-03-04,106.20538719495137
2019-03-05,105.65400552749634
2019-03-06,104.875742620892
2019-03-07,104.07011021508112
2019-03-08,103.65188770824008
2019-03-11,104.78143260214064
2019-03-12,104.34361894925435
2019-03-13,105.19614381260342
2019-03-14,104.6828469435374
2019-03-15,104.53276522954305
2019-03-18,105.64833052953084
2019-03-19,105.13772373729282
2019-03-20,104.27443022198148
2019-03-21,105.48614313867357
2019-03-22,102.73964264657762
2019-03-25,102.93709810574849
2019-03-26,103.63855444060431
2019-03-27,103.70701509051852
2019-03-28,104.72066285875108
2019-03-29,105.78729157977634
2019-04-01,108.0397194756402
2019-04-02,107.89324124654134
2019-04-03,108.00191685888502
2019-04-04,108.60144707891676
2019-04-05,109.13436312145657
2019-04-08,109.05805979834662
2019-04-09,107.46810868051317
2019-04-10,107.55676447020636
2019-04-11,108.74515557289124
2019-04-12,109.94419023725722
2019-04-15,109.49204961458842
2019-04-16,109.94307200113933
2019-04-17,109.98151993751526
2019-04-18,111.0923084417979
2019-04-22,110.57609984609816
2019-04-23,111.92747974395752
2019-04-24,111.56858327653673
2019-04-25,109.7640442053477
2019-04-26,110.5118113623725
2019-04-29,110.6763567129771
2019-04-30,111.06042801009283
2019-05-01,110.16406030125088
2019-05-02,110.2005979484982
2019-05-03,111.54576791657342
2019-05-06,110.60177495744493
2019-05-07,108.63867934544881
2019-05-08,108.68246931499905
2019-05-09,108.57429840829637
2019-05-10,108.8822992377811
2019-05-13,105.89669227600098
2019-05-14,106.80330816904704
2019-05-15,106.91621764500935
2019-05-16,108.13527403937445
2019-05-17,106.95385323630438
2019-05-20,106.66031455993652
2019-05-21,108.01658733685811
2019-05-22,107.05681135919359
2019-05-23,105.4802941746182
2019-05-24,105.53690319591098
2019-05-28,104.69853144221835
2019-05-29,104.34313204553392
2019-05-30,104.84210613038805
2019-05-31,103.40077662467957
2019-06-03,104.09644503063626
2019-06-04,106.64376905229356
2019-06-05,107.92425809966193
2019-06-06,107.92272769080267
2019-06-07,108.94702678256564
2019-06-10,109.38303383191426
2019-06-11,108.38503766059875
2019-06-12,108.61483155356512
2019-06-13,109.49832895067003
2019-06-14,109.04499295022752
2019-06-17,108.58535252677069
2019-06-18,110.35347890853882
2019-06-19,110.76445078849792
2019-06-20,112.44743227958679
2019-06-21,111.81550341182285
2019-06-24,111.42398357391357
2019-06-25,110.70088137520685
2019-06-26,110.6428833802541
2019-06-27,110.98211540116205
2019-06-28,112.17524382803175
2019-07-01,112.38117027282715
2019-07-02,112.20774859852261
2019-07-03,112.98680347866483
2019-07-05,112.55770534939236
2019-07-08,111.70453368292914
2019-07-09,111.39576845698886
2019-07-10,110.96382003360324
2019-07-11,111.63162562582228
2019-07-12,113.56791093614366
2019-07-15,113.19353119532268
2019-07-16,113.84621858596802
2019-07-17,112.18116728464763
2019-07-18,112.14084964328342
2019-07-19,112.35881378915575
2019-07-22,112.41498004065619
2019-07-23,114.09033317036099
2019-07-24,115.23881273799472
2019-07-25,114.88121649954054
2019-07-26,115.02150710423787
2019-07-29,114.51870208316379
2019-07-30,114.88253728548686
2019-07-31,113.61357569694519
2019-08-01,111.52856641345554
2019-08-02,110.55626784430609
2019-08-05,107.64959030681186
2019-08-06,110.04005053308275
2019-08-07,110.38729696803622
2019-08-08,112.54930830001831
2019-08-09,111.41063862376743
2019-08-12,109.99870363871257
2019-08-13,111.24560358789232
2019-08-14,108.05851742956374
2019-08-15,108.363264825609
2019-08-16,110.37954261567857
2019-08-19,111.5994684961107
2019-08-20,110.86928682857089
2019-08-21,111.64267312155829
2019-08-22,111.65493501557245
2019-08-23,108.66823495758905
2019-08-26,109.45265385839674
2019-08-27,109.03922912809584
2019-08-28,110.05562541219923
2019-08-29,111.92374878459506
2019-08-30,112.37821706136067
2019-09-03,110.67133249176874
2019-09-04,111.95008182525635
2019-09-05,114.02676102850172
2019-09-06,114.2047827773624
2019-09-09,114.04164830843608
2019-09-10,114.76917608579
2019-09-11,115.67704921298557
2019-09-12,115.96050577693515
2019-09-13,116.37573785252042
2019-09-16,116.3976005713145
2019-09-17,116.5009601910909
2019-09-18,116.22287729051378
2019-09-19,115.70072714487712
2019-09-20,115.0291788313124
2019-09-23,114.8927468723721
2019-09-24,114.15557620260451
2019-09-25,115.34484283129375
2019-09-26,115.5500995847914
2019-09-27,114.73680318726434
2019-09-30,115.08422287305196
2019-10-01,112.47629316647847
2019-10-02,110.3243715763092
2019-10-03,111.0407694445716
2019-10-04,112.3655817243788
2019-10-07,111.7886024845971
2019-10-08,110.0794255203671
2019-10-09,111.0780918598175
2019-10-10,112.13988020684984
2019-10-11,114.28844327396817
2019-10-14,114.04841486612956
2019-10-15,114.95691471629672
2019-10-16,114.90916768709819
2019-10-17,115.31984705395169
2019-10-18,114.87171589003668
2019-10-21,115.44273795021905
2019-10-22,115.8856446478102
2019-10-23,115.98790955543518
2019-10-24,116.44699687427945
2019-10-25,116.9979685942332
2019-10-28,117.3812092145284
2019-10-29,117.77824415100946
2019-10-30,117.7432271639506
2019-10-31,116.48961718877156
2019-11-01,118.7033720281389
2019-11-04,119.38662661446466
2019-11-05,119.54169143570795
2019-11-06,119.58524719874065
2019-11-07,120.09788224432204
2019-11-08,120.58562994003296
2019-11-11,120.79282765918308
2019-11-12,120.91984521018134
2019-11-13,120.48309625519647
2019-11-14,121.05782961845398
2019-11-15,121.71155733532376
2019-11-18,121.5623943540785
2019-11-19,121.53810930252075
2019-11-20,120.93463836775885
2019-11-21,120.54842861493428
2019-11-22,120.93462750646803
2019-11-25,121.83880930476718
2019-11-26,122.50104626019795
2019-11-27,122.41324302885268
2019-11-29,121.72053525182936
2019-12-02,119.9644701745775
2019-12-03,118.82198317845662
2019-12-04,119.34986787372165
2019-12-05,119.76350013415019
2019-12-06,120.96828312344022
2019-12-09,120.62371283107333
2019-12-10,120.52177781528897
2019-12-11,121.29251586066351
2019-12-12,122.26427594820659
2019-12-13,122.00823696454366
2019-12-16,122.2137897544437
2019-12-17,122.1795653767056
2019-12-18,121.72013481458028
2019-12-19,122.03847328821819
2019-12-20,123.0671169228024
2019-12-23,123.62043306562636
2019-12-24,123.24745443132188
2019-12-26,123.55824118190341
2019-12-27,123.42409912745158
2019-12-30,122.98492458131578
2019-12-31,122.9406316810184
2020-01-02,124.79191207885742
2020-01-03,124.89447500970628
2020-01-06,124.81020291646321
2020-01-07,124.74749636650085
2020-01-08,125.00631064838834
2020-01-09,125.8640903102027
2020-01-10,125.1917188167572
2020-01-13,126.26326150364346
2020-01-14,126.17702155643039
2020-01-15,126.65144766701593
2020-01-16,128.13511768976846
2020-01-17,128.14637777540418
2020-01-21,127.16936455832587
2020-01-22,126.71283997429742
2020-01-23,127.92372343275282
2020-01-24,127.2646365960439
2020-01-27,125.23032699690924
2020-01-28,126.16863883866205
2020-01-29,126.20321202278137
2020-01-30,126.05001258850098
2020-01-31,123.06979012489319
2020-02-03,123.59200421969096
2020-02-04,125.7643117374844
2020-02-05,127.34319501452975
2020-02-06,127.49983941184149
2020-02-07,126.7067088286082
2020-02-10,127.4963972568512
2020-02-11,128.1609608332316
2020-02-12,129.47387040985956
2020-02-13,128.8902369340261
2020-02-14,128.6626544263628
2020-02-18,128.11721883879767
2020-02-19,128.05761612786188
2020-02-20,127.95006325509813
2020-02-21,127.35634975963168
2020-02-24,123.68601282437642
2020-02-25,118.8128518793318
2020-02-26,117.92670673794217
2020-02-27,113.74825864368015
2020-02-28,112.25738090938992
2020-03-02,115.7280577023824
2020-03-03,112.94529220792982
2020-03-04,117.83365024460687
2020-03-05,112.40887716081407
2020-03-06,110.88202250003815
2020-03-09,101.48672548929851
2020-03-10,107.49577609697978
