date1,m_industrial,m_financials,m_infotech,m_healthc,m_consumerd
2019-01-02,91.18161969714694,79.83286995954917,82.03783681499424,124.108827076261,175.01986967842535
2019-01-03,88.51012388865153,78.09626076926648,78.58129784598279,120.718782606579,172.0142068503038
2019-01-04,92.01396592458087,80.73354683459645,81.79167364604437,124.60709477984716,175.86305243114256
2019-01-07,92.52444529533386,80.93341799185309,83.14996050364935,125.69512960645888,178.5946081179493
2019-01-08,93.72788707415263,81.29689854635319,84.04396854941524,127.37395982893686,179.30977435381908
2019-01-09,94.43985766834685,81.68988170086497,85.22354471861426,129.07863856118823,180.37737210291735
2019-01-10,95.48917343881396,82.02309350564447,85.98203133825047,130.3364467923603,181.6684624024157
2019-01-11,95.47445861498517,82.00045746816716,86.14297878920142,130.53054340301998,181.8759391352816
2019-01-14,95.32073770629034,82.14271881210972,85.19486423748643,129.03250651889377,181.00603396937527
2019-01-15,95.34765985276964,82.9972095086541,86.28379174844542,131.31136960831898,182.16614628737827
2019-01-16,95.4146450360616,84.25472769938725,86.39603615518826,131.5106265961178,181.2535755499354
2019-01-17,96.99545052316454,84.74354893053082,86.98813413506123,132.83638739207433,183.1324785160569
2019-01-18,98.9951491885715,86.07054126094765,88.60845458329614,134.6242673661974,184.2991824959809
2019-01-22,96.84063471688164,85.27635178095858,86.87937403436916,133.34588303641667,181.7526830457292
2019-01-23,96.75716169675192,85.4007826523042,87.00533498223149,133.9611223765782,183.2916548477029
2019-01-24,97.2492832077874,85.51128082544031,88.52241173075207,133.93353209419857,184.62032546637192
2019-01-25,98.4197457631429,86.10878802017427,90.06493052439903,134.74427441188269,185.50620222991367
2019-01-28,97.71404804123772,85.74167545748429,89.38769334109861,133.51853868696423,186.30349755737015
2019-01-29,99.31247335010104,85.25768278686094,88.7398926820328,133.85098843347458,187.66708422606845
2019-01-30,100.63926821284824,85.79868964074363,90.5776238797316,135.82950990162198,189.58475757994745
2019-01-31,100.77734020021228,86.32328864890086,91.3990035057068,137.65602932279072,190.4829019420552
2019-02-01,101.0068337917328,87.1153621673584,92.39678556527664,137.62022387792194,190.06060189121172
2019-02-04,102.36638718181186,87.4063257163679,93.5933260277136,137.53593750605506,191.35794286907844
2019-02-05,103.14454335636565,87.65650483252297,94.23072323870304,137.9090148986332,192.62709728276957
2019-02-06,103.15416889720493,87.3395875071136,95.22305863650875,137.98434193929037,191.0345219936011
2019-02-07,102.4673866695828,87.31011764096542,94.03380307866566,136.51138865758503,193.0925781861791
2019-02-08,102.67027484046088,87.22450597521285,95.0487210501486,136.89388759552486,192.18778185574516
2019-02-11,103.2972948551178,87.4224706972149,95.29271579144606,137.16523633684432,193.5689950709073
2019-02-12,104.8473818037245,88.39997004119444,96.83019217448448,139.1275016542465,196.74523086367915
2019-02-13,105.39420292112564,88.85599775717291,97.02958779548533,139.64747241186717,195.9317560825708
2019-02-14,104.9392642709944,88.09054926751365,97.54365138153533,139.7929401094951,196.76583829915748
2019-02-15,106.40030349625482,89.54759000052869,98.27915371709796,142.04928570701964,198.4180207342472
2019-02-19,106.19047866927252,89.80111010645477,98.30608556519694,141.87853985741026,197.6502836875196
2019-02-20,106.61395772298177,90.32218586559028,98.40480311237164,142.00987970261346,197.2627923353663
2019-02-21,106.26825020048354,90.00804768145925,98.20812332096384,140.84707998850988,197.1420059653948
2019-02-22,106.98590302467346,90.5931050206574,99.51620149612428,142.2478938935295,198.76024391066352
2019-02-25,107.0820570256975,90.73572528194374,99.757834249468,142.8785956549266,196.74270885395555
2019-02-26,106.58788922097948,90.67871273739236,99.65456591079484,142.02350804162404,198.10883186448297
2019-02-27,106.91453870137532,91.13583944884824,99.79147011486452,141.8615606096056,197.3763461023007
2019-02-28,106.67630966504414,91.38972940579266,99.45735222546024,141.50145306662907,193.61758461538352
2019-03-01,106.87365860409209,91.87282865819796,100.23664520035928,144.58391219850571,193.69145128861916
2019-03-04,106.20538719495136,91.16294265800798,99.318779561057,141.94024476550874,194.33023112674928
2019-03-05,105.65400552749634,90.84886309126732,98.83489405219234,141.5764630030072,194.7788065154597
2019-03-06,104.875742620892,90.09736313618404,98.071763366016,138.83142486451163,195.3704665202015
2019-03-07,104.07011021508112,89.02111187787123,97.55820533410828,137.82057065812367,195.0594216922544
2019-03-08,103.65188770824008,88.95783484821588,97.47883547597856,137.50508735293434,193.7406855529209
2019-03-11,104.78143260214064,89.87232437939711,99.35931365169697,139.45465278625488,194.97497246400368
2019-03-12,104.34361894925436,90.19305939741538,99.49035682962902,140.65943766397143,196.1875603603867
2019-03-13,105.19614381260342,90.73760180406168,99.92433536586476,141.98419419545976,196.5572826367504
2019-03-14,104.6828469435374,91.08027486398188,100.14302418836908,142.14704504467193,195.9809655333465
2019-03-15,104.53276522954305,91.77824777952382,100.9760274602406,143.18101849631657,196.8501676973307
2019-03-18,105.64833052953084,92.36624138791797,101.24142487369366,143.09542268420023,198.82693243026733
2019-03-19,105.13772373729282,91.7637533537099,101.642562851977,144.0861793094211,198.68021450402605
2019-03-20,104.27443022198148,90.3865410173443,101.17419124717144,143.2584070478167,198.7061568746027
2019-03-21,105.48614313867355,91.17735661251444,103.53945080202016,143.7663077702598,200.93113864142936
2019-03-22,102.73964264657762,89.30809265459088,100.54272184798968,140.3475767771403,198.37619124718432
2019-03-25,102.93709810574848,89.14258880346594,100.350328331563,140.3749264913892,201.00902150711923
2019-03-26,103.63855444060432,90.29982167902128,101.28660298817194,141.08093352544876,201.7363362222348
2019-03-27,103.70701509051852,90.07713371599225,100.22610708492904,139.65144296676394,202.4699667624708
